ORTHOMCL	Neosp1	Orpsp1_1	Anasp1	Pirfi3	DOMAINS
ORTHO_02708	2	1	1	1	
ORTHO_02709	1	2	1	1	
ORTHO_02710	1	2	1	1	
ORTHO_02711	2	1	1	1	
ORTHO_02712	2	1	1	1	
ORTHO_02713	2	1	1	1	
ORTHO_02714	2	1	1	1	
ORTHO_02715	2	1	1	1	
ORTHO_02716	2	1	1	1	
ORTHO_02717	2	1	1	1	
ORTHO_02718	2	1	1	1	
ORTHO_02719	1	2	1	1	
ORTHO_02720	2	1	1	1	
ORTHO_02721	2	1	1	1	
ORTHO_02722	2	1	1	1	
ORTHO_02723	2	1	1	1	
ORTHO_02724	2	1	1	1	
ORTHO_02725	2	1	1	1	
ORTHO_02726	2	1	1	1	
ORTHO_02727	2	1	1	1	
ORTHO_02728	2	1	1	1	
ORTHO_02729	2	1	1	1	
ORTHO_02730	1	1	2	1	
ORTHO_02731	1	2	1	1	
ORTHO_02732	1	2	1	1	
ORTHO_02733	2	1	1	1	
ORTHO_02734	1	1	2	1	
ORTHO_02735	1	2	1	1	
ORTHO_02736	2	1	1	1	
ORTHO_02737	2	1	1	1	
ORTHO_02738	1	1	2	1	
ORTHO_02739	2	1	1	1	
ORTHO_02740	2	1	1	1	
ORTHO_02741	2	1	1	1	
ORTHO_02742	2	1	1	1	
ORTHO_02743	2	1	1	1	
ORTHO_02744	2	1	1	1	
ORTHO_02745	2	1	1	1	
ORTHO_02746	1	1	2	1	
ORTHO_02747	2	1	1	1	
ORTHO_02748	2	1	1	1	
ORTHO_02749	2	1	1	1	
ORTHO_02750	2	1	1	1	
ORTHO_02751	2	1	1	1	
ORTHO_02752	1	2	1	1	
ORTHO_02753	2	1	1	1	
ORTHO_02754	2	1	1	1	
ORTHO_02755	1	2	1	1	
ORTHO_02756	2	1	1	1	
ORTHO_02757	1	2	1	1	
ORTHO_02758	2	1	1	1	
ORTHO_02759	2	1	1	1	
ORTHO_02760	2	1	1	1	
ORTHO_02761	2	1	1	1	
ORTHO_02762	1	2	1	1	
ORTHO_02763	2	1	1	1	
ORTHO_02764	2	1	1	1	
ORTHO_02765	2	1	1	1	
ORTHO_02766	1	1	2	1	
ORTHO_02767	2	1	1	1	
ORTHO_02768	2	1	1	1	
ORTHO_02769	2	1	1	1	
ORTHO_02770	1	2	1	1	
ORTHO_02771	2	1	1	1	
ORTHO_02772	2	1	1	1	
ORTHO_02773	2	1	1	1	
ORTHO_02774	2	1	1	1	
ORTHO_02775	1	2	1	1	
ORTHO_02776	2	1	1	1	
ORTHO_02777	1	2	1	1	
ORTHO_02778	2	1	1	1	
ORTHO_02779	1	2	1	1	
ORTHO_02780	2	1	1	1	
ORTHO_02781	1	1	1	2	
ORTHO_02782	2	1	1	1	
ORTHO_02783	2	1	1	1	
ORTHO_02784	2	1	1	1	
ORTHO_02785	2	1	1	1	
ORTHO_02786	2	1	1	1	
ORTHO_02787	2	1	1	1	
ORTHO_02788	2	1	1	1	
ORTHO_02789	2	1	1	1	
ORTHO_02790	2	1	1	1	
ORTHO_02791	2	1	1	1	
ORTHO_02792	2	1	1	1	
ORTHO_02793	1	2	1	1	
ORTHO_02794	1	2	1	1	
ORTHO_02795	2	1	1	1	
ORTHO_02796	1	2	1	1	
ORTHO_02797	2	1	1	1	
ORTHO_02798	2	1	1	1	
ORTHO_02799	2	1	1	1	
ORTHO_02800	2	1	1	1	
ORTHO_02801	2	1	1	1	
ORTHO_02802	2	1	1	1	
ORTHO_02803	2	1	1	1	
ORTHO_02804	2	1	1	1	
ORTHO_02805	2	1	1	1	
ORTHO_02806	2	1	1	1	
ORTHO_02807	1	2	1	1	
ORTHO_02808	1	2	1	1	
ORTHO_02809	2	1	1	1	
ORTHO_02810	2	1	1	1	
ORTHO_02811	2	1	1	1	
ORTHO_02812	2	1	1	1	
ORTHO_02813	2	1	1	1	
ORTHO_02814	1	2	1	1	
ORTHO_02815	2	1	1	1	
ORTHO_02816	2	1	1	1	
ORTHO_02817	2	1	1	1	
ORTHO_02818	2	1	1	1	
ORTHO_02819	2	1	1	1	
ORTHO_02820	2	1	1	1	
ORTHO_02821	1	2	1	1	
ORTHO_02822	2	1	1	1	
ORTHO_02823	0	3	1	1	
ORTHO_02824	2	1	1	1	
ORTHO_02825	1	2	1	1	
ORTHO_02826	2	1	1	1	
ORTHO_02827	2	1	1	1	
ORTHO_02828	3	1	0	1	
ORTHO_02829	2	1	1	1	
ORTHO_02830	1	1	2	1	
ORTHO_02831	2	2	0	1	
ORTHO_02832	2	1	1	1	
ORTHO_02833	2	1	1	1	
ORTHO_02834	1	2	1	1	
ORTHO_02835	2	1	1	1	
ORTHO_02836	2	1	1	1	
ORTHO_02837	2	1	1	1	
ORTHO_02838	1	2	1	1	
ORTHO_02839	2	1	1	1	
ORTHO_02840	2	1	1	1	
ORTHO_02841	2	1	1	1	
ORTHO_02842	2	1	1	1	
ORTHO_02843	2	1	1	1	
ORTHO_02844	1	2	1	1	
ORTHO_02845	1	2	1	1	
ORTHO_02846	2	1	1	1	
ORTHO_02847	1	1	2	1	
ORTHO_02848	1	2	1	1	
ORTHO_02849	2	1	1	1	
ORTHO_02850	1	2	1	1	
ORTHO_02851	0	3	1	1	
ORTHO_02852	1	2	1	1	
ORTHO_02853	1	2	1	1	
ORTHO_02854	2	1	1	1	
ORTHO_02855	2	1	1	1	
ORTHO_02856	2	1	1	1	
ORTHO_02857	2	1	1	1	
ORTHO_02858	1	3	0	1	
ORTHO_02859	2	1	1	1	
ORTHO_02860	2	1	1	1	
ORTHO_02861	1	3	1	0	
ORTHO_02862	2	1	1	1	
ORTHO_02863	2	1	1	1	
ORTHO_02864	1	2	1	1	
ORTHO_02865	1	2	1	1	
ORTHO_02866	2	1	1	1	
ORTHO_02867	2	1	1	1	
ORTHO_02868	2	1	1	1	
ORTHO_02869	2	1	1	1	
ORTHO_02870	1	2	1	1	
ORTHO_02871	2	1	1	1	
ORTHO_02872	2	1	1	1	
ORTHO_02873	2	1	1	1	
ORTHO_02874	1	2	1	1	
ORTHO_02875	2	1	1	1	
ORTHO_02876	2	1	1	1	
ORTHO_02877	1	3	0	1	
ORTHO_02878	2	1	1	1	
ORTHO_02879	2	1	1	1	
ORTHO_02880	2	1	1	1	
ORTHO_02881	2	1	1	1	
ORTHO_02882	1	2	1	1	
ORTHO_02883	1	2	1	1	
ORTHO_02884	2	1	1	1	
ORTHO_02885	2	1	1	1	
ORTHO_02886	0	1	3	1	
ORTHO_02887	2	1	1	1	
ORTHO_02888	2	1	1	1	
ORTHO_02889	2	1	1	1	
ORTHO_02890	2	1	1	1	
ORTHO_02891	2	1	1	1	
ORTHO_02892	2	1	1	1	
ORTHO_02893	2	1	1	1	
ORTHO_02894	1	0	3	1	
ORTHO_02895	2	1	1	1	
ORTHO_02896	2	1	1	1	
ORTHO_02897	2	1	1	1	
ORTHO_02898	2	1	1	1	
ORTHO_02899	2	1	1	1	
ORTHO_02900	2	1	1	1	
ORTHO_02901	2	1	1	1	
ORTHO_02902	2	1	1	1	
ORTHO_02903	2	1	1	1	
ORTHO_02904	2	1	1	1	
ORTHO_02905	2	1	1	1	
ORTHO_02906	3	0	1	1	
ORTHO_02907	2	1	1	1	
ORTHO_02908	2	1	1	1	
ORTHO_02909	2	0	2	1	
ORTHO_02910	1	2	1	1	
ORTHO_02911	1	2	1	1	
ORTHO_02912	1	2	1	1	
ORTHO_02913	2	1	1	1	
ORTHO_02914	1	2	1	1	
ORTHO_02915	2	1	1	1	
ORTHO_02916	1	2	1	1	
ORTHO_02917	2	1	1	1	
ORTHO_02918	2	1	1	1	
ORTHO_02919	2	1	1	1	
ORTHO_02920	2	1	1	1	
ORTHO_02921	2	1	1	1	
ORTHO_02922	2	1	1	1	
ORTHO_02923	2	1	1	1	
ORTHO_02924	1	2	1	1	
ORTHO_02925	1	1	2	1	
ORTHO_02926	2	1	1	1	
ORTHO_02927	2	1	1	1	
ORTHO_02928	2	1	1	1	
ORTHO_02929	1	1	1	2	
ORTHO_02930	2	1	1	1	
ORTHO_02931	2	1	1	1	
ORTHO_02932	2	1	1	1	
ORTHO_02933	1	1	2	1	
ORTHO_02934	2	1	1	1	
ORTHO_02935	2	1	1	1	
ORTHO_02936	2	1	1	1	
ORTHO_02937	2	1	1	1	
ORTHO_02938	2	1	1	1	
ORTHO_02939	0	2	1	2	
ORTHO_02940	2	1	1	1	
ORTHO_02941	2	1	1	1	
ORTHO_02942	2	1	1	1	
ORTHO_02943	2	1	1	1	
ORTHO_02944	2	1	1	1	
ORTHO_02945	2	0	2	1	
ORTHO_02946	1	2	1	1	
ORTHO_02947	2	1	1	1	
ORTHO_02948	2	1	1	1	
ORTHO_02949	1	2	1	1	
ORTHO_02950	1	1	2	1	
ORTHO_02951	1	2	1	1	
ORTHO_02952	1	2	1	1	
ORTHO_02953	2	1	1	1	
ORTHO_02954	2	1	1	1	
ORTHO_02955	2	1	1	1	
ORTHO_02956	1	2	1	1	
ORTHO_02957	2	1	1	1	
ORTHO_02958	1	2	1	1	
ORTHO_02959	2	1	1	1	
ORTHO_02960	2	1	1	1	
ORTHO_02961	1	2	1	1	
ORTHO_02962	2	1	1	1	
ORTHO_02963	2	1	1	1	
ORTHO_02964	1	2	1	1	
ORTHO_02965	2	1	1	1	
ORTHO_02966	2	1	1	1	
ORTHO_02967	2	1	1	1	
ORTHO_02968	2	1	1	1	
ORTHO_02969	2	1	1	1	
ORTHO_02970	3	0	1	1	
ORTHO_02971	2	1	1	1	
ORTHO_02972	2	1	1	1	
ORTHO_02973	2	1	1	1	
ORTHO_02974	1	2	1	1	
ORTHO_02975	1	2	1	1	
ORTHO_02976	2	1	1	1	
ORTHO_02977	2	1	1	1	
ORTHO_02978	2	1	1	1	
ORTHO_02979	2	1	1	1	
ORTHO_02980	2	1	1	1	
ORTHO_02981	2	1	1	1	
ORTHO_02982	2	1	1	1	
ORTHO_02983	2	1	1	1	
ORTHO_02984	2	1	1	1	
ORTHO_02985	2	1	1	1	
ORTHO_02986	2	1	1	1	
ORTHO_02987	2	1	1	1	
ORTHO_02988	2	1	1	1	
ORTHO_02989	1	2	1	1	
ORTHO_02990	2	1	1	1	
ORTHO_02991	2	1	1	1	
ORTHO_02992	2	1	1	1	
ORTHO_02993	2	1	1	1	
ORTHO_02994	2	1	1	1	
ORTHO_02995	1	1	2	1	
ORTHO_02996	2	1	1	1	
ORTHO_02997	2	1	1	1	
ORTHO_02998	2	1	1	1	
ORTHO_02999	2	1	1	1	
ORTHO_03000	2	1	1	1	
ORTHO_03001	1	2	1	1	
ORTHO_03002	2	1	1	1	
ORTHO_03003	2	1	1	1	
ORTHO_03004	2	1	1	1	
ORTHO_03005	2	1	1	1	
ORTHO_03006	1	2	1	1	
ORTHO_03007	1	1	2	1	
ORTHO_03008	1	2	1	1	
ORTHO_03009	2	1	1	1	
ORTHO_03010	1	2	1	1	
ORTHO_03011	2	1	1	1	
ORTHO_03012	2	1	1	1	
ORTHO_03013	2	1	1	1	
ORTHO_03014	2	1	1	1	
ORTHO_03015	1	2	1	1	
ORTHO_03016	2	1	1	1	
ORTHO_03017	1	2	1	1	
ORTHO_03018	3	1	0	1	
ORTHO_03019	2	1	1	1	
ORTHO_03020	1	2	1	1	
ORTHO_03021	2	1	1	1	
ORTHO_03022	2	1	1	1	
ORTHO_03023	1	2	1	1	
ORTHO_03024	1	2	1	1	
ORTHO_03025	2	1	1	1	
ORTHO_03026	2	1	1	1	
ORTHO_03027	2	1	1	1	
ORTHO_03028	2	1	1	1	
ORTHO_03029	2	1	1	1	
ORTHO_03030	2	1	1	1	
ORTHO_03031	2	1	1	1	
ORTHO_03032	2	1	1	1	
ORTHO_03033	2	1	1	1	
ORTHO_03034	1	2	1	1	
ORTHO_03035	1	2	1	1	
ORTHO_03036	1	1	2	1	
ORTHO_03037	1	2	1	1	
ORTHO_03038	1	2	1	1	
ORTHO_03039	2	1	1	1	
ORTHO_03040	2	1	1	1	
ORTHO_03041	2	1	1	1	
ORTHO_03042	1	2	1	1	
ORTHO_03043	1	3	1	0	
ORTHO_03044	2	1	1	1	
ORTHO_03045	2	1	1	1	
ORTHO_03046	2	1	1	1	
ORTHO_03047	2	1	1	1	
ORTHO_03048	2	1	1	1	
ORTHO_03049	2	1	1	1	
ORTHO_03050	2	1	1	1	
ORTHO_03051	1	2	1	1	
ORTHO_03052	2	1	1	1	
ORTHO_03053	2	1	1	1	
ORTHO_03054	1	2	1	1	
ORTHO_03055	2	1	1	1	
ORTHO_03056	1	2	1	1	
ORTHO_03057	2	1	1	1	
ORTHO_03058	2	1	1	1	
ORTHO_03059	1	2	1	1	
ORTHO_03060	2	1	1	1	
ORTHO_03061	2	1	1	1	
ORTHO_03062	1	2	1	1	
ORTHO_03063	2	1	1	1	
ORTHO_03064	1	2	1	1	
ORTHO_03065	2	1	1	1	
ORTHO_03066	1	2	1	1	
ORTHO_03067	2	1	1	1	
ORTHO_03068	1	2	1	1	
ORTHO_03069	1	1	2	1	
ORTHO_03070	1	2	1	1	
ORTHO_03071	0	3	1	1	
ORTHO_03072	2	2	0	1	
ORTHO_03073	2	1	1	1	
ORTHO_03074	1	2	1	1	
ORTHO_03075	1	2	1	1	
ORTHO_03076	2	1	1	1	
ORTHO_03077	2	1	1	1	
ORTHO_03078	1	2	1	1	
ORTHO_03079	1	2	1	1	
ORTHO_03080	1	2	1	1	
ORTHO_03081	2	1	1	1	
ORTHO_03082	2	1	1	1	
ORTHO_03083	1	2	1	1	
ORTHO_03084	1	2	1	1	
ORTHO_03085	2	1	1	1	
ORTHO_03086	2	1	1	1	
ORTHO_03087	2	1	1	1	
ORTHO_03088	2	1	1	1	
ORTHO_03089	1	2	1	1	
ORTHO_03090	1	2	1	1	
ORTHO_03091	2	1	1	1	
ORTHO_03092	1	2	1	1	
ORTHO_03093	2	1	1	1	
ORTHO_03094	1	2	1	1	
ORTHO_03095	2	2	0	1	
ORTHO_03096	2	1	1	1	
ORTHO_03097	1	2	1	1	
ORTHO_03098	1	2	1	1	
ORTHO_03099	2	1	1	1	
ORTHO_03100	1	2	1	1	
ORTHO_03101	2	1	1	1	
ORTHO_03102	1	2	1	1	
ORTHO_03103	1	2	1	1	
ORTHO_03104	1	2	1	1	
ORTHO_03105	2	1	1	1	
ORTHO_03106	2	1	1	1	
ORTHO_03107	2	1	1	1	
ORTHO_03108	2	1	1	1	
ORTHO_03109	1	2	1	1	
ORTHO_03110	2	1	1	1	
ORTHO_03111	2	1	1	1	
ORTHO_03112	2	1	1	1	
ORTHO_03113	2	1	1	1	
ORTHO_03114	1	2	1	1	
ORTHO_03115	1	2	1	1	
ORTHO_03116	2	1	1	1	
ORTHO_03117	1	2	1	1	
ORTHO_03118	2	1	1	1	
ORTHO_03119	2	1	1	1	
ORTHO_03120	2	1	1	1	
ORTHO_03121	2	1	1	1	
ORTHO_03122	2	1	1	1	
ORTHO_03123	2	1	1	1	
ORTHO_03124	1	1	1	2	
ORTHO_03125	2	1	1	1	
ORTHO_03126	2	1	1	1	
ORTHO_03127	1	2	1	1	
ORTHO_03128	2	1	1	1	
ORTHO_03129	3	0	1	1	
ORTHO_03130	1	2	1	1	
ORTHO_03131	1	2	1	1	
ORTHO_03132	2	0	2	1	
ORTHO_03133	2	1	1	1	
ORTHO_03134	2	1	1	1	
ORTHO_03135	2	1	1	1	
ORTHO_03136	1	2	1	1	
ORTHO_03137	2	1	1	1	
ORTHO_03138	2	1	1	1	
ORTHO_03139	2	1	1	1	
ORTHO_03140	2	1	1	1	
ORTHO_03141	2	1	1	1	
ORTHO_03142	2	1	1	1	
ORTHO_03143	2	1	1	1	
ORTHO_03144	2	1	1	1	
ORTHO_03145	1	1	2	1	
ORTHO_03146	2	1	1	1	
ORTHO_03147	1	2	1	1	
ORTHO_03148	2	1	1	1	
ORTHO_03149	2	1	1	1	
ORTHO_03150	2	1	1	1	
ORTHO_03151	2	1	1	1	
ORTHO_03152	2	1	1	1	
ORTHO_03153	1	2	1	1	
ORTHO_03154	2	1	1	1	
ORTHO_03155	1	2	1	1	
ORTHO_03156	2	1	1	1	
ORTHO_03157	2	1	1	1	
ORTHO_03158	2	1	1	1	
ORTHO_03159	2	1	1	1	
ORTHO_03160	1	1	2	1	
ORTHO_03161	2	1	1	1	
ORTHO_03162	2	1	1	1	
ORTHO_03163	1	2	1	1	
ORTHO_03164	2	1	1	1	
ORTHO_03165	2	1	1	1	
ORTHO_03166	2	1	1	1	
ORTHO_03167	2	1	1	1	
ORTHO_03168	1	2	1	1	
ORTHO_03169	2	1	1	1	
ORTHO_03170	2	1	1	1	
ORTHO_03171	1	2	1	1	
ORTHO_03172	2	1	1	1	
ORTHO_03173	2	2	0	1	
ORTHO_03174	2	1	1	1	
ORTHO_03175	2	1	1	1	
ORTHO_03176	2	1	1	1	
ORTHO_03177	2	1	1	1	
ORTHO_03178	2	1	1	1	
ORTHO_03179	2	1	1	1	
ORTHO_03180	2	1	1	1	
ORTHO_03181	2	1	1	1	
ORTHO_03182	2	1	1	1	
ORTHO_03183	2	1	1	1	
ORTHO_03184	2	1	1	1	
ORTHO_03185	2	1	1	1	
ORTHO_03186	1	1	1	2	
ORTHO_03187	2	1	1	1	
ORTHO_03188	0	4	0	1	
ORTHO_03189	2	1	1	1	
ORTHO_03190	1	2	1	1	
ORTHO_03191	2	1	1	1	
ORTHO_03192	2	1	1	1	
ORTHO_03193	1	2	1	1	
ORTHO_03194	2	1	1	1	
ORTHO_03195	2	0	2	1	
ORTHO_03196	1	2	1	1	
ORTHO_03197	2	1	1	1	
ORTHO_03198	1	2	1	1	
ORTHO_03199	1	2	1	1	
ORTHO_03200	1	2	1	1	
ORTHO_03201	1	2	1	1	
ORTHO_03202	2	1	1	1	
ORTHO_03203	2	1	1	1	
ORTHO_03204	2	1	1	1	
ORTHO_03205	1	2	1	1	
ORTHO_03206	1	2	1	1	
ORTHO_03207	1	1	2	1	
ORTHO_03208	2	1	1	1	
ORTHO_03209	1	1	2	1	
ORTHO_03210	2	1	1	1	
ORTHO_03211	2	1	1	1	
ORTHO_03212	2	1	1	1	
ORTHO_03213	2	1	1	1	
ORTHO_03214	2	1	1	1	
ORTHO_03215	2	1	1	1	
ORTHO_03216	2	1	1	1	
ORTHO_03217	2	1	1	1	
ORTHO_03218	2	1	1	1	
ORTHO_03219	2	1	1	1	
ORTHO_03220	2	1	1	1	
ORTHO_03221	2	1	1	1	
ORTHO_03222	2	1	1	1	
ORTHO_03223	2	1	1	1	
ORTHO_03224	1	2	1	1	
ORTHO_03225	2	1	1	1	
ORTHO_03226	2	1	1	1	
ORTHO_03227	2	1	1	1	
ORTHO_03228	2	1	1	1	
ORTHO_03229	1	2	1	1	
ORTHO_03230	1	2	1	1	
ORTHO_03231	2	1	1	1	
ORTHO_03232	2	1	1	1	
ORTHO_03233	2	1	1	1	
ORTHO_03234	2	1	1	1	
ORTHO_03235	2	1	1	1	
ORTHO_03236	1	1	2	1	
ORTHO_03237	1	1	2	1	
ORTHO_03238	1	2	1	1	
ORTHO_03239	2	1	1	1	
ORTHO_03240	2	1	1	1	
ORTHO_03241	2	1	1	1	
ORTHO_03242	2	1	1	1	
ORTHO_03243	2	1	1	1	
ORTHO_03244	1	2	1	1	
ORTHO_03245	2	0	2	1	
ORTHO_03246	2	1	1	1	
ORTHO_03247	2	1	1	1	
ORTHO_03248	2	1	1	1	
ORTHO_03249	2	1	1	1	
ORTHO_03250	2	1	1	1	
ORTHO_03251	2	1	1	1	
ORTHO_03252	2	1	1	1	
ORTHO_03253	2	1	1	1	
ORTHO_03254	1	2	1	1	
ORTHO_03255	2	0	2	1	
ORTHO_03256	2	1	1	1	
ORTHO_03257	2	1	1	1	
ORTHO_03258	2	1	1	1	
ORTHO_03259	1	2	1	1	
ORTHO_03260	2	1	1	1	
ORTHO_03261	2	1	1	1	
ORTHO_03262	2	1	1	1	
ORTHO_03263	2	1	1	1	
ORTHO_03264	1	2	1	1	
ORTHO_03265	2	1	1	1	
ORTHO_03266	1	2	1	1	
ORTHO_03267	1	2	1	1	
ORTHO_03268	1	2	1	1	
ORTHO_03269	1	2	1	1	
ORTHO_03270	2	1	1	1	
ORTHO_03271	1	2	1	1	
ORTHO_03272	1	2	1	1	
ORTHO_03273	2	1	1	1	
ORTHO_03274	2	1	1	1	
ORTHO_03275	2	1	1	1	
ORTHO_03276	2	1	1	1	
ORTHO_03277	1	2	1	1	
ORTHO_03278	2	1	1	1	
ORTHO_03279	2	1	1	1	
ORTHO_03280	1	2	1	1	
ORTHO_03281	1	2	1	1	
ORTHO_03282	2	1	1	1	
ORTHO_03283	1	2	1	1	
ORTHO_03284	1	2	1	1	
ORTHO_03285	1	2	1	1	
ORTHO_03286	1	2	1	1	
ORTHO_03287	1	2	1	1	
ORTHO_03288	2	1	1	1	
ORTHO_03289	1	2	1	1	
ORTHO_03290	2	1	1	1	
ORTHO_03291	2	1	1	1	
ORTHO_03292	2	1	1	1	
ORTHO_03293	2	1	1	1	
ORTHO_03294	2	1	1	1	
ORTHO_03295	2	1	1	1	
ORTHO_03296	2	1	1	1	
ORTHO_03297	1	2	1	1	
ORTHO_03298	1	2	1	1	
ORTHO_03299	2	1	1	1	
ORTHO_03300	2	1	1	1	
ORTHO_03301	2	1	1	1	
ORTHO_03302	2	1	1	1	
ORTHO_03303	2	1	1	1	
ORTHO_03304	2	1	1	1	
ORTHO_03305	1	2	1	1	
ORTHO_03306	1	2	1	1	
ORTHO_03307	2	1	1	1	
ORTHO_03308	2	1	1	1	
ORTHO_03309	2	1	1	1	
ORTHO_03310	2	1	1	1	
ORTHO_03311	2	1	1	1	
ORTHO_03312	2	1	1	1	
ORTHO_03313	1	2	1	1	
ORTHO_03314	2	1	1	1	
ORTHO_03315	2	1	1	1	
ORTHO_03316	1	2	1	1	
ORTHO_03317	1	2	1	1	
ORTHO_03318	1	2	1	1	
ORTHO_03319	1	2	1	1	
ORTHO_03320	2	1	1	1	
ORTHO_03321	2	1	1	1	
ORTHO_03322	1	2	1	1	
ORTHO_03323	1	2	1	1	
ORTHO_03324	2	1	1	1	
ORTHO_03325	2	1	1	1	
ORTHO_03326	2	1	1	1	
ORTHO_03327	2	1	1	1	
ORTHO_03328	1	2	1	1	
ORTHO_03329	2	1	1	1	
ORTHO_03330	2	1	1	1	
ORTHO_03331	2	1	1	1	
ORTHO_03332	2	1	1	1	
ORTHO_03333	1	2	1	1	
ORTHO_03334	2	1	1	1	
ORTHO_03335	1	2	1	1	
ORTHO_03336	2	1	1	1	
ORTHO_03337	2	1	1	1	
ORTHO_03338	2	1	1	1	
ORTHO_03339	2	1	1	1	
ORTHO_03340	1	2	1	1	
ORTHO_03341	2	1	1	1	
ORTHO_03342	2	1	1	1	
ORTHO_03343	2	1	1	1	
ORTHO_03344	2	1	1	1	
ORTHO_03345	2	1	1	1	
ORTHO_03346	2	1	1	1	
ORTHO_03347	1	1	2	1	
ORTHO_03348	2	1	1	1	
ORTHO_03349	1	2	1	1	
ORTHO_03350	1	2	1	1	
ORTHO_03351	0	3	1	1	
ORTHO_03352	0	3	1	1	
ORTHO_03353	2	1	1	1	
ORTHO_03354	1	1	2	1	
ORTHO_03355	1	2	1	1	
ORTHO_03356	2	0	2	1	
ORTHO_03357	2	1	1	1	
ORTHO_03358	2	1	1	1	
ORTHO_03359	1	2	1	1	
ORTHO_03360	2	1	1	1	
ORTHO_03361	2	1	1	1	
ORTHO_03362	1	2	1	1	
ORTHO_03363	2	1	1	1	
ORTHO_03364	2	1	1	1	
ORTHO_03365	2	1	1	1	
ORTHO_03366	2	1	1	1	
ORTHO_03367	2	1	1	1	
ORTHO_03368	2	1	1	1	
ORTHO_03369	1	2	1	1	
ORTHO_03370	2	1	1	1	
ORTHO_03371	2	1	1	1	
ORTHO_03372	1	2	1	1	
ORTHO_03373	2	1	1	1	
ORTHO_03374	2	1	1	1	
ORTHO_03375	2	1	1	1	
ORTHO_03376	1	2	1	1	
ORTHO_03377	2	1	1	1	
ORTHO_03378	2	1	1	1	
ORTHO_03379	1	2	1	1	
ORTHO_03380	2	1	1	1	
ORTHO_03381	1	2	1	1	
ORTHO_03382	2	1	1	1	
ORTHO_03383	1	2	1	1	
ORTHO_03384	2	1	1	1	
ORTHO_03385	2	1	1	1	
ORTHO_03386	2	1	1	1	
ORTHO_03387	2	1	1	1	
ORTHO_03388	1	2	1	1	
ORTHO_03389	2	1	1	1	
ORTHO_03390	1	2	1	1	
ORTHO_03391	2	1	1	1	
ORTHO_03392	2	1	1	1	
ORTHO_03393	2	1	1	1	
ORTHO_03394	2	1	1	1	
ORTHO_03395	1	2	1	1	
ORTHO_03396	2	1	1	1	
ORTHO_03397	2	1	1	1	
ORTHO_03398	1	2	1	1	
ORTHO_03399	2	1	1	1	
ORTHO_03400	2	1	1	1	
ORTHO_03401	2	1	1	1	
ORTHO_03402	2	1	1	1	
ORTHO_03403	1	2	1	1	
ORTHO_03404	2	1	1	1	
ORTHO_03405	1	2	1	1	
ORTHO_03406	1	2	1	1	
ORTHO_03407	2	1	1	1	
ORTHO_03408	2	1	1	1	
ORTHO_03409	2	1	1	1	
ORTHO_03410	2	1	1	1	
ORTHO_03411	3	1	1	0	
ORTHO_03412	1	2	1	1	
ORTHO_03413	2	1	1	1	
ORTHO_03414	1	2	1	1	
ORTHO_03415	2	1	1	1	
ORTHO_03416	2	1	1	1	
ORTHO_03417	2	1	1	1	
ORTHO_03418	2	1	1	1	
ORTHO_03419	2	1	1	1	
ORTHO_03420	2	1	1	1	
ORTHO_03421	2	1	1	1	
ORTHO_03422	1	1	2	1	
ORTHO_03423	2	1	1	1	
ORTHO_03424	2	1	1	1	
ORTHO_03425	2	1	1	1	
ORTHO_03426	1	2	1	1	
ORTHO_03427	1	2	1	1	
ORTHO_03428	2	2	0	1	
ORTHO_03429	1	0	3	1	
ORTHO_03430	2	1	1	1	
ORTHO_03431	2	1	1	1	
ORTHO_03432	1	2	1	1	
ORTHO_03433	2	1	1	1	
ORTHO_03434	2	1	1	1	
ORTHO_03435	2	1	1	1	
ORTHO_03436	2	1	1	1	
ORTHO_03437	2	1	1	1	
ORTHO_03438	2	1	1	1	
ORTHO_03439	2	1	1	1	
ORTHO_03440	2	1	1	1	
ORTHO_03441	2	1	1	1	
ORTHO_03442	2	1	1	1	
ORTHO_03443	2	1	1	1	
ORTHO_03444	2	1	1	1	
ORTHO_03445	2	1	1	1	
ORTHO_03446	2	1	1	1	
ORTHO_03447	1	2	1	1	
ORTHO_03448	2	1	1	1	
ORTHO_03449	2	1	1	1	
ORTHO_03450	2	1	1	1	
ORTHO_03451	2	1	1	1	
ORTHO_03452	2	1	1	1	
ORTHO_03453	1	2	1	1	
ORTHO_03454	2	1	1	1	
ORTHO_03455	1	2	1	1	
ORTHO_03456	2	1	1	1	
ORTHO_03457	1	2	1	1	
ORTHO_03458	1	2	1	1	
ORTHO_03459	2	1	1	1	
ORTHO_03460	1	1	2	1	
ORTHO_03461	2	1	1	1	
ORTHO_03462	2	1	1	1	
ORTHO_03463	2	1	1	1	
ORTHO_03464	1	2	1	1	
ORTHO_03465	2	1	1	1	
ORTHO_03466	2	1	1	1	
ORTHO_03467	2	1	1	1	
ORTHO_03468	2	1	1	1	
ORTHO_03469	2	1	1	1	
ORTHO_03470	2	1	1	1	
ORTHO_03471	1	2	1	1	
ORTHO_03472	1	2	1	1	
ORTHO_03473	2	1	1	1	
ORTHO_03474	2	1	1	1	
ORTHO_03475	2	1	1	1	
ORTHO_03476	1	2	1	1	
ORTHO_03477	2	1	1	1	
ORTHO_03478	1	2	1	1	
ORTHO_03479	1	2	1	1	
ORTHO_03480	2	1	1	1	
ORTHO_03481	2	1	1	1	
ORTHO_03482	2	1	1	1	
